,url,len of url,no of subdir,no of subdomain,len of domain,no of queries,presence of Suspicious_TLD,presence of at,label
0,http://veksi.barginginfrance.net/oassemsoci/psolsoapsi/netsoorgaw/files/,72,5,1,25,0,0,0,1
1,http://mail.quickjacket.it/arcftp/meclasu/fotaisa/shmecjemipro/razonel/picisjyel/papake/ganga.html,98,8,1,19,0,1,0,1
2,http://myhouselistingz.com/461b6eb2cf6cb5d64a063feb2e0b99fd/,60,2,0,19,0,0,0,1
3,http://dropdocuview.com/bDBsIZn2/default.php?valid&amp;autocache;=docs=folder&amp;.done=view&amp;9ff01ea4ac805e207fb7e564500aad07=xlspdf,136,2,0,16,91,0,0,1
4,http://dtbatna.com/xmlrpc/imbot/imbot/impt/impt/b14087919a24832bcd7dd88872e529e4/sat.php?g4d3bdOfiuargfBl0bEP6dBVy_wP1WJ6XZDh7nemRp9dfgHJ0HYZaZV6xWExsS,151,7,0,11,62,0,0,1
5,http://mytincorp.com/templates/beez/html/com_user/reset/Sistem.Online.informe/?596888/26998.php?Mon=20161010234520?th=1476135920&amp;cliente=abuse@gmail.com,156,7,0,13,77,0,0,1
6,http://girlhunts.com/online/0d1ea47f66c57b4cd2a24714ea422154,60,2,0,13,0,0,0,1
7,http://gezzinypizza.com/wp-includes/js/tinymce/sis/doc.htm,58,5,0,16,0,0,0,1
8,http://forwardup.ru/wp-includes/certificates/main.htm,53,3,0,12,0,1,0,1
9,http://customercarenumber.org/sign/store.apple.com/.cgi-bin/WebObjects/MyAppleIdwoa/wa/,87,7,0,22,0,0,0,1
10,http://goodlandparks.com/siteloqistics.co.ke/ChAutlnk/upgrae/boxMrenewal.php,76,4,0,17,0,0,0,1
11,http://tcons.com.bo/components/com_user/views/reset/9d029cc9ac520695532444f625fcc16b,84,5,0,12,0,0,0,1
12,http://fernandaemiliaboutique.com.br/wp-includes/js/jcrop/M81027272/M81027272/Welcome.html,90,6,0,29,0,1,0,1
13,http://maumeevp.org/di/cd/cd/index.php,38,4,0,12,0,0,0,1
14,http://saemark.is/wp-content/plugins/wp-sts.php,47,3,0,10,0,0,0,1
15,http://reprise.com.tr/welcome/shares/greetings,46,3,0,14,0,0,0,1
16,http://account.buscaunamascota.interactivos123.com/conexion/God/upgrade/newp/ii.php?rand=13InboxLightaspxn.1774256418,117,5,2,43,33,0,0,1
17,http://chroma-si.com.br/cpp/wr/cd/,34,4,0,16,0,1,0,1
18,http://naught.org/pictures/,27,2,0,10,0,0,0,1
19,http://italianshoemanufacturers.com/,36,1,0,28,0,0,0,1
20,http://rcf.org.il/PayPal/safe/Confirmation/signin/df2e0c60776A0bb542d7db4D27b56d279/login.php,93,6,0,10,0,0,0,1
