,url,len of url,no of subdir,no of subdomain,len of domain,no of queries,presence of Suspicious_TLD,presence of at,label
0,http://oaklandnorth.net/2011/07/05/police-continue-search-for-cyclist-in-oaklandberkeley-hills/,95,5,0,16,0,0,0,0
1,http://ksol.ac.in/,18,1,0,10,0,0,0,0
2,http://artists.letssingit.com/gabrielle-destroismaisons-v74j9/biography,71,2,1,22,0,0,0,0
3,http://ca.weather.yahoo.com/canada/quebec/montreal-3534/,56,4,2,20,0,0,0,0
4,http://radio-locator.com/info/CKAC-AM,37,2,0,17,0,0,0,0
5,http://veksi.barginginfrance.net/oassemsoci/psolsoapsi/netsoorgaw/files/,72,5,1,25,0,0,0,1
6,http://ballardian.com/fulfillment-nihilism-gray-ballard,55,1,0,14,0,0,0,0
7,http://island-watersports.com/,30,1,0,22,0,0,0,0
8,http://amazon.com/Down-Big-Brother-Soviet-Empire/dp/0679751513,62,3,0,10,0,0,0,0
9,http://uvm.edu/~wstephan/dante/infessay.htm,43,3,0,7,0,0,0,0
10,http://linkedin.com/in/kevindoell,33,2,0,12,0,0,0,0
11,http://legacy.com/obituaries/herald-review/obituary.aspx?n=gary-w-bruce-skip&pid=148737610,90,3,0,10,33,0,0,0
12,http://mail.quickjacket.it/arcftp/meclasu/fotaisa/shmecjemipro/razonel/picisjyel/papake/ganga.html,98,8,1,19,0,1,0,1
13,http://zimbio.com/Sinaloa+Cartel/articles/KVvZ4wLQ6O9/Mexican+drug+cartels+expand+reach+Central,95,4,0,10,0,0,0,0
14,http://soundtrackcentral.blogspot.com/2008/11/custer-of-west.html,65,3,1,30,0,0,0,0
15,http://couponing101.com/2011/10/organic-and-natural-printable-coupons-odwalla-deboles-green-blacks-and-more.html,112,3,0,16,0,0,0,0
16,http://mrskin.com/venus-terzo-c10062.html,41,1,0,10,0,0,0,0
17,http://reunion.com/jeffreyalper/,32,2,0,11,0,0,0,0
18,http://namesdatabase.com/schools/MX/CH/Saucillo,47,4,0,17,0,0,0,0
19,http://myhouselistingz.com/461b6eb2cf6cb5d64a063feb2e0b99fd/,60,2,0,19,0,0,0,1
20,http://absoluteastronomy.com/topics/California_State_Route_99,61,2,0,21,0,0,0,0
21,http://galenfrysinger.com/missouri_independence.htm,51,1,0,18,0,0,0,0
22,http://longbranchchamber.org/downtown.php,41,1,0,21,0,0,0,0
23,http://dropdocuview.com/bDBsIZn2/default.php?valid&amp;autocache;=docs=folder&amp;.done=view&amp;9ff01ea4ac805e207fb7e564500aad07=xlspdf,136,2,0,16,91,0,0,1
24,http://tvguide.com/celebrities/august-schellenberg/photos/140931,64,4,0,11,0,0,0,0
25,http://buffalobills.com/news/article-3/Buffalo-Bills-release-2010-ticket-prices/f019d78f-1426-43a9-aa76-dc64ef529205,116,4,0,16,0,0,0,0
26,http://benefitslink.com/boards/index.php?showtopic=41745,56,2,0,16,15,0,0,0
27,http://stevenweiner.net/Site/Determination.html,47,2,0,16,0,0,0,0
28,http://genforum.genealogy.com/groulx/messages/301.html,54,3,1,22,0,0,0,0
29,http://jillprevost.com/,23,1,0,15,0,0,0,0
30,http://beenverified.com/p/lynn+cohen,36,2,0,16,0,0,0,0
31,http://ezinearticles.com/?Winning-Ugly---Brad-Gilbert&id=2380556,64,1,0,17,38,0,0,0
32,http://facebook.com/orindacalifornia,36,1,0,12,0,0,0,0
33,http://dtbatna.com/xmlrpc/imbot/imbot/impt/impt/b14087919a24832bcd7dd88872e529e4/sat.php?g4d3bdOfiuargfBl0bEP6dBVy_wP1WJ6XZDh7nemRp9dfgHJ0HYZaZV6xWExsS,151,7,0,11,62,0,0,1
34,http://funkhouserlaw.com/,25,1,0,17,0,0,0,0
35,http://song-list.net/jimgallowayjaymcshann/songs,48,2,0,13,0,0,0,0
36,http://mytincorp.com/templates/beez/html/com_user/reset/Sistem.Online.informe/?596888/26998.php?Mon=20161010234520?th=1476135920&amp;cliente=abuse@gmail.com,156,7,0,13,77,0,0,1
37,http://4online.tv/artv/,23,2,0,10,0,0,0,0
38,http://hungryintaipei.blogspot.com/,35,1,1,27,0,0,0,0
39,http://tvguide.com/celebrities/danna-hansen/230034,50,3,0,11,0,0,0,0
40,http://songkick.com/artists/579760-thunderheist,47,2,0,12,0,0,0,0
41,http://hkiug.ln.edu.hk/unicode/hkiug_cjk_codetable-1.0.4.html,61,2,1,15,0,0,0,0
42,http://article.wn.com/view/2010/08/26/Jordan_joins_elite_group_at_World_Basketball_Championship/,96,6,1,14,0,0,0,0
43,http://nitrovideo.com/moviedb/beloved/Lisa_Gay_Hamilton.html,60,3,0,14,0,0,0,0
44,http://royalsblog.kansascity.com/?q=node/938,44,1,1,25,10,0,0,0
45,http://charterbusconnect.com/results,36,1,0,21,0,0,0,0
46,http://americantowns.com/ca/dunsmuir,36,2,0,17,0,0,0,0
47,http://manta.com/mb_55_F20D302W_BFP/catholic_senior_high_school/kansas_city_mo,78,3,0,9,0,0,0,0
48,http://facebook.com/cs613,25,1,0,12,0,0,0,0
