page_latest_low,page_latest_high,page_len_low,page_len_high,num_rows
3531223,6182572,21326,626293,1953,
1660912,3126824,566744,1187005,0,
1392698,3695712,260606,782371,1,
2226544,3668095,1178764,1315364,0,
1498862,5168256,391766,1160188,4,
3013491,6228401,191457,1536939,34,
4491072,6205265,864277,1226943,0,
1433677,4263679,310685,431413,0,
689349,6067496,398398,716304,8,
233673,2737820,712020,962254,0,
261765,4320507,1448525,1561392,0,
65342,3521649,13994,1392299,863,
1410475,4902672,375125,600991,3,
871026,5510267,222073,869337,21,
4885700,5752468,380955,1544724,2,
1987730,3182110,1098063,1249899,0,
2803704,5987127,84412,487185,217,
1041337,4224164,453782,1546004,1,
4692755,6378561,389710,1404483,7,
2198388,4973969,909482,1086826,0,
384819,1125783,344222,631927,0,
114851,1296939,480484,733431,0,
2904989,4558982,329212,809528,1,
144090,2752264,103429,127695,27,
3770247,6006344,164758,813905,42,
134586,1541990,771232,1493874,0,
1842855,5729763,254814,1074839,16,
4069406,5252811,28977,129027,428,
4161803,5288503,683169,1279449,0,
3566527,4648501,422774,763965,1,
5596722,5896324,250361,1167197,6,
707839,1291797,345928,1037865,1,
1971132,2851208,342974,426250,0,
1401654,2454762,314875,1126423,0,
796335,4395195,6987,1459031,2255,
63080,1265642,1040326,1379263,0,
1587034,5132449,201060,554232,9,
4274012,6328014,138656,851733,77,
3902381,6340031,381550,873921,8,
1582560,2077041,57201,782056,17,
1512427,2808511,372983,827903,1,
1529399,4831656,1086883,1425926,0,
2124627,3502961,1076270,1450984,0,
2762358,3538879,141989,251963,3,
3899342,5436440,409079,1559368,2,
5248310,5305615,423392,1197966,0,
1169041,6320684,489140,1113508,6,
2807020,4799951,262900,613008,2,
4317309,4551606,1407182,1454127,0,
532989,2216865,92358,895223,12,
3089483,4370648,1123867,1203862,0,
938695,5315215,142509,327519,27,
3150359,5980227,74086,1331287,272,
2342643,6296262,931321,1438439,0,
3129119,3406833,644359,941980,0,
2253813,5156548,653994,1546064,1,
4066295,4167818,105621,556016,2,
282591,3773976,460608,723667,1,
53434,1177801,1311983,1417978,0,
293096,733820,232911,1263442,2,
1613008,3366172,381336,1028711,1,
2323292,2965075,437368,629457,1,
2681336,6121394,158300,814278,52,
2560020,5210890,84832,772602,117,
1627870,3553353,171666,336647,1,
1234630,2607574,487055,698000,1,
1721678,3595580,29058,314367,251,
989867,4348076,66115,715185,143,
2715252,3325849,85589,506164,12,
872002,4101796,311458,1212972,2,
1766578,2210307,1116433,1195059,0,
1365000,3046979,595821,1554497,0,
355238,806221,197102,1106467,0,
1775554,4645687,1057385,1378449,0,
3476835,4431902,31905,1090499,100,
1308091,4972559,682325,1114886,0,
1409672,4969547,869450,959393,0,
242465,3724113,779619,1389480,0,
265812,3294783,741401,1413801,0,
4573835,5556306,35732,1246292,302,
2714321,3981021,95921,917804,24,
2663860,2712434,625934,816794,0,
1088799,3221666,1185665,1305539,0,
512154,4820042,230320,1019579,7,
845086,1032067,365143,1289296,0,
315369,465984,454013,647707,0,
845491,4441006,965625,1047024,0,
530378,3971434,461485,887841,1,
1899627,2800595,340011,1562684,1,
3250883,4970019,506863,1139332,1,
3992175,5791227,378366,437190,1,
4681084,4854573,1155859,1341883,0,
1373429,1830509,1410884,1535846,0,
3856963,6403577,30307,1364423,1803,
650515,1671463,146274,1175622,3,
828780,1062373,556276,1188766,0,
1828090,2013686,472540,582218,0,
3141172,4211124,1445006,1539709,0,
3783833,5599405,846297,1179003,0,
2126244,5494634,944980,1057875,0,
946081,4382768,63183,1075581,159,
4567900,5748053,500869,771709,1,
3389265,4173757,172843,1436360,1,
